exp_id,size,seed,best_epoch,best_val_macro_mre,val_micro_mre,val_v2_mre,val_ts_mre,sdr5,sdr10,sdr15,sdr20,p90,skeletal_mre,soft_tissue_mre
S350_seed42,350,42,59,36.69115688250615,36.48746871948242,27.244973154901302,43.19069656958947,1.2077717486434447,6.493961141256782,16.830036758270612,29.432872396289167,64.83474731445312,38.47213224931197,38.23843955993652
S500_seed42,500,42,62,30.31847148675185,30.278121948242188,23.54755288651846,35.49085433666523,1.6016103623315248,9.65342201995449,24.07666725013128,39.83021179765448,52.35617446899414,31.23941868868741,30.526265319512817
S750_seed42,750,42,57,26.75459537139306,26.66250228881836,21.186759513558695,30.81576134608342,2.1179765447225622,12.594083668825487,29.432872396289167,46.709259583406265,46.21691131591797,27.754220719770952,27.492031369890487
S1000_seed42,1000,42,53,25.98390223429753,25.9075927734375,21.069253699293416,29.9679515178387,2.3105198669700684,13.775599509889725,31.953439523892875,50.052511815158404,44.42906951904297,26.27637956792658,26.687401129274953
SFULL_seed42,1334,42,52,24.3920914209806,24.35204315185547,19.873354476632425,27.75676241287818,2.4768072816383686,15.692280763171714,34.90285314195694,53.238228601435324,42.17060852050781,24.986588252674448,24.744584647976623
