Cohort,System,Targets,Macro_MRE_mm,CI_95,Median_mm,P90_mm,SDR_at_20mm
V2 locked test,System 1,exact 8,28.10533335061138,"[25.00, 31.55]",25.317270411613798,44.07681079031439,33.02752293577982
V3 locked test,System 1,exact 8,31.326660455579884,"[29.16, 33.91]",27.869242442715134,49.02577293089604,28.84071630537229
AMOS all,System 1,exact 8,26.301944503008844,"[24.92, 27.70]",22.946697329670243,41.34651794114089,38.02612481857765
AMOS all (Sys0 reference),System 0,exact 8,55.3380743749307,"[53.88, 56.83]",55.57564894589427,69.65833262415414,0.5321722302854378
AMOS CT,System 1,exact 8,24.901549231983953,,0.0,0.0,0.0
AMOS MRI,System 1,exact 8,31.053788502884053,,0.0,0.0,0.0
