Target,V2_Sys1_mm,V3_Sys1_mm,AMOS_Sys1_mm
spleen,29.53549103828028,32.5479131825565,29.26720050775398
kidney_right,28.896921323867275,33.002363427607555,28.83859164835606
kidney_left,27.758395542611314,32.31683281516624,27.36340546729442
liver,29.234326197268434,33.699460637339364,26.87653405419805
pancreas,28.658643349059613,31.90733388796564,26.404305828354925
adrenal_gland_right,26.836502903375447,29.415325916990984,24.446114707556152
adrenal_gland_left,26.44632682306953,29.961502488678946,24.82736273305654
inferior_vena_cava,27.47605962735914,27.762551288333842,22.39204107750061
