target_idx,target_name,entropy_nats,normalized_entropy,effective_tokens,kl_div_from_uniform,top1_pct_mass,top5_pct_mass,top10_pct_mass
0,spleen,5.638989448547363,0.9775789961514423,281.17842958473085,0.12933178151173041,2.9866225719451904,12.401089668273926,21.645793914794922
1,kidney_right,5.6077070236206055,0.9721558539668154,272.5186422311118,0.16061460419950468,3.206254243850708,13.593570709228516,23.471670150756836
2,kidney_left,5.613319396972656,0.9731288187786113,274.05241863361226,0.1550016317969068,3.4945640563964844,13.743940353393555,23.48438262939453
3,gallbladder,5.628843784332275,0.9758201369925144,278.3401103174556,0.1394773732193899,3.085484743118286,12.822273254394531,22.653907775878906
4,liver,5.645230293273926,0.978660913182605,282.938707601825,0.1230911239152864,2.744257688522339,11.925418853759766,21.298009872436523
5,stomach,5.657883644104004,0.980854506576472,286.5415764439119,0.11043767257402184,2.6080024242401123,11.551454544067383,20.41729164123535
6,pancreas,5.6059489250183105,0.9718510688129419,272.0399485057907,0.16237186535856468,3.2936644554138184,13.615406036376953,23.67319107055664
7,adrenal_gland_right,5.612643241882324,0.9730116000782607,273.8671793280424,0.15567732235346482,3.296194553375244,13.449983596801758,23.21556854248047
8,adrenal_gland_left,5.614926338195801,0.9734073991877661,274.49315878933743,0.15339498422371844,3.304511308670044,13.371366500854492,23.031858444213867
9,lung_upper_lobe_left,5.695844650268555,0.987435452087693,297.6280790839145,0.07247585837122109,2.087918519973755,9.696318626403809,17.9271183013916
10,lung_lower_lobe_left,5.664318084716797,0.981969985520429,288.39125564441935,0.10400298895491725,2.326362133026123,10.716645240783691,19.67186737060547
11,lung_upper_lobe_right,5.699227333068848,0.9880218762486853,298.63656520059953,0.06909370555301916,1.9700120687484741,9.462126731872559,17.639328002929688
12,lung_middle_lobe_right,5.667665004730225,0.9825502098206835,289.3580951743852,0.10065592163020587,2.345612049102783,10.485265731811523,19.38625144958496
13,lung_lower_lobe_right,5.666684150695801,0.9823801683068463,289.0744162658845,0.10163724111630014,2.2880380153656006,10.632737159729004,19.57147216796875
14,esophagus,5.677988529205322,0.984339902953681,292.3607629416434,0.09033280886780916,2.165102958679199,10.346354484558105,18.926376342773438
15,trachea,5.687110900878906,0.9859213634306961,295.0399883490704,0.08121002580749717,2.077286720275879,9.938108444213867,18.338666915893555
16,thyroid_gland,5.696183204650879,0.9874941441026781,297.7288594332429,0.07213802361786939,2.061940908432007,9.6567964553833,17.878433227539062
17,small_bowel,5.651486873626709,0.9797455581524922,284.71448571738034,0.11683437415761666,2.637948751449585,11.876973152160645,21.5999698638916
18,duodenum,5.599745750427246,0.9707756823017565,270.35766036742865,0.16857482880969266,3.2071449756622314,13.58315658569336,24.08550262451172
19,colon,5.644810676574707,0.9785881681499473,282.8200067014416,0.12350988396394941,2.7873239517211914,12.378228187561035,22.302331924438477
20,urinary_bladder,5.604576110839844,0.9716130768254176,271.6667444359041,0.1637448054772258,3.2300002574920654,14.274480819702148,24.922109603881836
21,prostate,5.626941680908203,0.9754903870660697,277.8111818383715,0.14137977049975636,2.898277997970581,13.100251197814941,23.19614028930664
22,kidney_cyst_left,5.640019416809082,0.9777575521406928,281.4681836362063,0.12830144752808947,3.0094542503356934,12.44078254699707,21.526817321777344
23,kidney_cyst_right,5.664441108703613,0.9819913130413672,288.42673686892783,0.10387966273586788,2.7407360076904297,11.347350120544434,20.32651710510254
24,sacrum,5.616977691650391,0.9737630231996901,275.05681921460217,0.1513431254481759,3.099107265472412,13.38475227355957,23.530773162841797
25,vertebrae_S1,5.616300582885742,0.9736456391697199,274.8706388708202,0.15202040803678377,3.1465485095977783,14.007899284362793,24.353242874145508
26,vertebrae_L5,5.620760917663574,0.9744188858009466,276.0993922293221,0.14756009434022455,3.179673910140991,13.607311248779297,23.723888397216797
27,vertebrae_L4,5.609231948852539,0.972420216028678,272.9345298029563,0.1590893117808131,3.233015537261963,13.989920616149902,24.31870460510254
28,vertebrae_L3,5.597729682922363,0.9704261754857604,269.81315014278215,0.17059165204383536,3.367778778076172,14.175891876220703,24.572734832763672
29,vertebrae_L2,5.595902442932129,0.9701094039344603,269.32058691760926,0.17241837693528503,3.418426275253296,14.28636360168457,24.56471824645996
30,vertebrae_L1,5.611128330230713,0.9727489739774047,273.452608845197,0.1571928782418758,3.2852742671966553,13.497808456420898,23.38520050048828
31,vertebrae_T12,5.627782821655273,0.9756362077906243,278.0449584491406,0.14053753726365342,3.079395294189453,12.836840629577637,22.298585891723633
32,vertebrae_T11,5.628819465637207,0.9758159210872126,278.33334153149184,0.1395011020001231,3.1009786128997803,12.641329765319824,22.069313049316406
33,vertebrae_T10,5.625454902648926,0.9752326381889941,277.39844511305495,0.14286610945863873,3.025264263153076,12.576228141784668,21.992448806762695
34,vertebrae_T9,5.6483612060546875,0.9792036903240027,283.8259522356333,0.11995958049878201,2.615333080291748,11.44525146484375,20.565704345703125
35,vertebrae_T8,5.651102066040039,0.9796788476509528,284.604946500354,0.11721876995315297,2.444427728652954,11.265115737915039,20.411056518554688
36,vertebrae_T7,5.664045333862305,0.9819227012492016,288.3126074091885,0.10427554973732758,2.1864511966705322,10.664047241210938,19.596628189086914
37,vertebrae_T6,5.667301177978516,0.9824871365707769,289.25283810736664,0.10101994613020018,2.351365327835083,10.671932220458984,19.3852481842041
38,vertebrae_T5,5.697701454162598,0.987757348857203,298.1812294470825,0.0706197145490502,2.1332221031188965,9.433903694152832,17.6417293548584
39,vertebrae_T4,5.688300132751465,0.9861275294664327,295.3910680230867,0.08002141221544172,2.2354276180267334,9.989765167236328,18.28790283203125
40,vertebrae_T3,5.6939592361450195,0.9871085954295926,297.0674555698694,0.07436211627341853,2.0568621158599854,9.765510559082031,18.121591567993164
41,vertebrae_T2,5.6908369064331055,0.986567306254772,296.1413595678039,0.07748453099461843,2.1448159217834473,9.833824157714844,18.173036575317383
42,vertebrae_T1,5.700249195098877,0.9881990269361687,298.94188653892957,0.06807203312048732,2.0767152309417725,9.502035140991211,17.610124588012695
43,vertebrae_C7,5.698159217834473,0.9878367070746478,298.3177572279034,0.07016170068714069,2.121311902999878,9.64495849609375,17.772480010986328
44,vertebrae_C6,5.7050652503967285,0.9890339415155347,300.3850796547734,0.06325536099733124,2.1199703216552734,9.314088821411133,17.330936431884766
45,vertebrae_C5,5.693330764770508,0.9869996432102259,296.88081583275397,0.07499047148880729,2.1284990310668945,9.725029945373535,17.971437454223633
46,vertebrae_C4,5.675905227661133,0.9839787403994978,291.7523213164956,0.09241589083523485,2.4559504985809326,10.524045944213867,19.271974563598633
47,vertebrae_C3,5.69757080078125,0.9877346986993074,298.14227360611244,0.07075017846912646,2.147554874420166,9.787003517150879,17.975236892700195
48,vertebrae_C2,5.691458702087402,0.986675101166801,296.3255562386508,0.07686265833899744,2.212144374847412,9.938478469848633,18.216773986816406
