mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Full_360_Reference,101,rib_left_11,23.18,23.18,0.0
Full_360_Reference,102,rib_left_12,23.27,23.27,0.0
Full_360_Reference,103,rib_right_1,18.08,18.08,0.0
Full_360_Reference,104,rib_right_2,19.15,19.15,0.0
Full_360_Reference,105,rib_right_3,20.74,20.74,0.0
Full_360_Reference,106,rib_right_4,23.46,23.46,0.0
Full_360_Reference,107,rib_right_5,22.09,22.09,0.0
Full_360_Reference,108,rib_right_6,22.45,22.45,0.0
Full_360_Reference,109,rib_right_7,24.33,24.33,0.0
Full_360_Reference,110,rib_right_8,24.74,24.74,0.0
Full_360_Reference,111,rib_right_9,23.87,23.87,0.0
Full_360_Reference,112,rib_right_10,23.79,23.79,0.0
Full_360_Reference,113,rib_right_11,22.67,22.67,0.0
Full_360_Reference,114,rib_right_12,23.23,23.23,0.0
Full_360_Reference,115,sternum,17.9,17.9,0.0
Full_360_Reference,116,costal_cartilages,19.45,19.45,0.0
Anterior_Covered,0,spleen,83.72,28.04,55.67
Anterior_Covered,1,kidney_right,85.6,28.88,56.72
Anterior_Covered,2,kidney_left,91.01,27.69,63.32
Anterior_Covered,3,gallbladder,89.26,36.85,52.4
Anterior_Covered,4,liver,89.2,28.76,60.44
Anterior_Covered,5,stomach,88.26,30.5,57.76
Anterior_Covered,6,pancreas,84.92,26.77,58.15
Anterior_Covered,7,adrenal_gland_right,82.96,23.9,59.06
Anterior_Covered,8,adrenal_gland_left,81.85,24.1,57.75
Anterior_Covered,9,lung_upper_lobe_left,47.46,20.9,26.57
Anterior_Covered,10,lung_lower_lobe_left,66.82,24.12,42.7
Anterior_Covered,11,lung_upper_lobe_right,48.38,23.95,24.43
Anterior_Covered,12,lung_middle_lobe_right,71.39,23.38,48.0
Anterior_Covered,13,lung_lower_lobe_right,63.28,24.86,38.42
Anterior_Covered,14,esophagus,49.7,19.21,30.49
Anterior_Covered,15,trachea,36.5,19.58,16.92
Anterior_Covered,16,thyroid_gland,35.53,21.13,14.41
Anterior_Covered,17,small_bowel,82.17,32.47,49.7
Anterior_Covered,18,duodenum,85.11,28.35,56.77
Anterior_Covered,19,colon,81.67,34.28,47.39
Anterior_Covered,20,urinary_bladder,73.75,25.99,47.76
Anterior_Covered,25,vertebrae_S1,68.98,22.09,46.89
Anterior_Covered,26,vertebrae_L5,70.68,21.77,48.91
Anterior_Covered,27,vertebrae_L4,71.82,21.7,50.13
Anterior_Covered,28,vertebrae_L3,71.56,23.77,47.79
Anterior_Covered,29,vertebrae_L2,79.51,22.32,57.19
Anterior_Covered,30,vertebrae_L1,81.36,21.46,59.91
Anterior_Covered,31,vertebrae_T12,73.51,20.36,53.15
Anterior_Covered,32,vertebrae_T11,72.65,20.4,52.25
Anterior_Covered,33,vertebrae_T10,65.76,19.76,45.99
Anterior_Covered,34,vertebrae_T9,63.12,19.73,43.39
Anterior_Covered,35,vertebrae_T8,70.37,19.79,50.57
Anterior_Covered,36,vertebrae_T7,61.39,18.79,42.6
Anterior_Covered,37,vertebrae_T6,50.95,18.35,32.6
Anterior_Covered,38,vertebrae_T5,38.61,17.71,20.89
Anterior_Covered,39,vertebrae_T4,40.88,18.01,22.87
Anterior_Covered,40,vertebrae_T3,38.0,18.01,19.99
Anterior_Covered,41,vertebrae_T2,38.86,17.89,20.97
Anterior_Covered,42,vertebrae_T1,35.67,17.68,17.99
Anterior_Covered,43,vertebrae_C7,35.1,18.83,16.27
Anterior_Covered,44,vertebrae_C6,38.39,19.74,18.65
Anterior_Covered,51,aorta,40.04,18.45,21.59
Anterior_Covered,52,pulmonary_vein,72.3,22.09,50.21
