target_name,phase10r_slot,amos_label_id,v2_sys0_mre_mm,v2_sys1_mre_mm,v2_sys3_mre_mm,v3_test_mre_mm,amos_sys0_mre_mm,amos_sys1_mre_mm,amos_sys3_mre_mm
spleen,0,1,27.8811368360752,36.5848656597119,36.5848656597119,29.001594352358172,57.39884809201805,29.26720050775398,25.7551364468235
kidney_right,1,2,25.634841977096187,33.6957367920547,33.6957367920547,30.143690715464512,55.74861580538649,28.83859164835606,25.377960650553334
kidney_left,2,3,23.207000214879105,31.119507849386082,31.119507849386082,28.341644685099443,55.813431564265834,27.36340546729442,24.07979681121909
liver,4,6,24.073457124756604,30.757972264289414,30.757972264289414,30.351161354024644,55.42646065131476,26.87653405419805,23.651349967694287
pancreas,6,10,24.506557964697116,31.93359212130212,31.93359212130212,27.587193644324014,55.99118545445449,26.404305828354925,23.235789128952337
adrenal_gland_right,7,11,22.713210117816924,29.49139352270293,29.49139352270293,25.153498207605804,54.02021004960332,24.446114707556152,21.512580942649418
adrenal_gland_left,8,12,22.740605342678908,30.897997208093724,30.897997208093724,25.33996618166566,55.51203062258772,24.82736273305654,21.848079205089753
inferior_vena_cava,62,9,22.56974006862175,30.66692765723293,30.66692765723293,22.719240002796568,52.7938127598149,22.39204107750061,19.704996148200532
MACRO_MRE,-1,-1,24.165818705827725,31.893499134346726,31.893499134346726,27.32974864291735,55.3380743749307,26.301944503008844,23.14571116264778
