System,Locked_Test_MRE,Locked_Test_CI,Locked_Test_Median,Locked_Test_P90,Locked_Test_SDR20,All_Eval_MRE,All_Eval_CI,All_Eval_Median,All_Eval_P90,All_Eval_SDR20
System 0 (Phase10R original),18.683161572712223,"[16.90, 20.95]",16.4335994720459,26.35465431213379,70.73170731707317,19.140666714081398,"[17.72, 20.73]",16.833723068237305,27.679103469848634,71.15384615384616
System 1 (Phase10R new frame),27.226041162729683,"[23.93, 30.60]",22.936805842799373,43.73332295347784,34.146341463414636,27.287086823319292,"[25.18, 29.62]",22.852544634909343,43.855654400478755,33.65384615384615
System 2 (Phase12-FOV original),18.68695081155401,"[16.83, 20.97]",16.450294714020572,26.379864669573845,70.73170731707317,19.14626766679461,"[17.75, 20.70]",16.796942882319804,27.678627626954743,71.15384615384616
System 3 (Phase12-FOV new frame),27.22660968413404,"[23.88, 30.84]",22.959788431865668,43.68719157143293,34.146341463414636,27.287399855945484,"[25.18, 29.58]",22.840215621368387,43.840373782538535,33.65384615384615
