target,mean_dx,mean_dy,mean_dz,mae_x,mae_y,mae_z
adrenal_gland_left,0.44323606752165856,58.808191444805125,-18.025698578275055,6.747377270901204,58.808191444805125,20.01581309600702
adrenal_gland_right,-0.9587260462896251,59.958365575613726,-17.558355972991116,5.586814800509086,59.958365575613726,18.546852951804897
aorta,-0.6334084083546918,58.69736241441413,5.285905143213478,6.4326774136762355,58.69736241441413,7.947707178345018
duodenum,12.036217044560152,56.71863083471075,-10.863669132210992,13.062395147915804,56.71863083471075,15.510120893932147
esophagus,1.9945400612618789,50.862796256045364,-4.539337323026887,5.869031886996236,50.862796256045364,8.560452791890436
gallbladder,-4.029096619790623,57.25232077635471,-1.048001507277422,11.272545768376135,57.25232077635471,16.682368281150037
inferior_vena_cava,-2.6527742784692947,58.05658999186617,5.033073247270764,6.254456685574427,58.05658999186617,10.266543046089087
kidney_left,4.414439223295084,56.98668607569369,-9.6321163733713,8.322363369691319,56.98668607569369,14.199554207403827
kidney_right,-2.4765880019474995,57.04998147919209,-7.5195514769272025,7.828494924216122,57.04998147919209,16.722626326476338
liver,-4.77484295012858,58.93288635179385,-8.136813339735648,8.382490877224587,58.93288635179385,12.356964324555568
pancreas,-3.9160955832132136,53.74169618942414,-6.463262200939268,10.499011194564053,53.74169618942414,12.749900707568735
spleen,2.7336113004486524,56.903798605723395,-18.137795537025905,9.115176323028953,56.903798605723395,19.303035430739666
stomach,-3.133738676552547,49.59045202600817,-11.047743497571338,10.55364802803671,49.59045202600817,15.573717853991461
