canonical_target_id,target_name,v2_train_count,ts_train_count,shift_before_mm,dz_before_mm,shift_after_mm,dz_after_mm,shift_reduction_mm
1,spleen,334,713,88.6214599609375,88.35003662109375,17.79149055480957,15.192195892333984,70.82996940612793
2,kidney_right,332,620,64.93236541748047,64.79029083251953,15.85483169555664,9.28066635131836,49.07753372192383
3,kidney_left,332,644,71.4365463256836,71.22219848632812,17.686599731445312,12.934680938720703,53.74994659423828
4,gallbladder,317,518,83.41536712646484,83.10509490966797,31.547161102294922,25.04880142211914,51.86820602416992
5,liver,336,754,91.88251495361328,91.66751098632812,24.387649536132812,18.62439727783203,67.49486541748047
6,stomach,336,725,89.99613952636719,89.96585083007812,22.31256675720215,17.06308937072754,67.68357276916504
7,pancreas,333,648,79.83203125,79.6844711303711,24.690898895263672,18.6289005279541,55.14113235473633
8,adrenal_gland_right,332,660,85.52890014648438,85.48021697998047,22.77131462097168,19.37552833557129,62.757585525512695
9,adrenal_gland_left,331,636,82.73733520507812,82.64414978027344,22.80194664001465,19.51412582397461,59.93538856506348
10,lung_upper_lobe_left,331,831,98.31983947753906,95.0587387084961,22.264169692993164,-16.46045684814453,76.0556697845459
11,lung_lower_lobe_left,335,812,107.10347747802734,105.68991088867188,6.666944980621338,3.2749481201171875,100.436532497406
12,lung_upper_lobe_right,206,707,118.42539978027344,110.85739135742188,33.682247161865234,-13.364921569824219,84.7431526184082
13,lung_middle_lobe_right,334,713,95.06231689453125,93.82722473144531,15.138428688049316,12.335777282714844,79.92388820648193
14,lung_lower_lobe_right,335,798,108.75896453857422,107.2895278930664,9.254544258117676,7.111854553222656,99.50442028045654
15,esophagus,334,839,96.91059875488281,96.25081634521484,16.9633731842041,-16.570281982421875,79.94722557067871
16,trachea,91,639,100.7994155883789,100.47794342041016,13.94985294342041,13.340713500976562,86.8495626449585
17,thyroid_gland,86,568,100.984375,100.88142395019531,22.851360321044922,21.499008178710938,78.13301467895508
18,small_bowel,331,662,25.72025489807129,23.587520599365234,33.48751449584961,-27.175155639648438,-7.76725959777832
19,duodenum,331,615,62.94925308227539,62.58854293823242,21.03822135925293,9.894195556640625,41.91103172302246
20,colon,333,738,38.28293991088867,33.847965240478516,36.303077697753906,-26.28711700439453,1.9798622131347656
21,urinary_bladder,310,465,7.221130847930908,-6.3876190185546875,35.91510772705078,-33.86091613769531,-28.693976879119873
26,vertebrae_S1,319,484,10.527626037597656,4.352569580078125,23.211214065551758,-22.980255126953125,-12.683588027954102
27,vertebrae_L5,323,499,11.614766120910645,8.701560974121094,19.551055908203125,-19.136123657226562,-7.9362897872924805
28,vertebrae_L4,323,514,17.625444412231445,16.193866729736328,15.237449645996094,-14.55670166015625,2.3879947662353516
29,vertebrae_L3,325,517,34.33940124511719,33.30495071411133,5.588911056518555,-4.165885925292969,28.750490188598633
30,vertebrae_L2,330,570,56.97126388549805,56.39842987060547,7.147367000579834,5.6970367431640625,49.82389688491821
31,vertebrae_L1,334,636,73.0318832397461,72.42901611328125,12.287787437438965,11.868803024291992,60.74409580230713
32,vertebrae_T12,334,699,85.86641693115234,84.98133087158203,12.543475151062012,12.436527252197266,73.32294178009033
33,vertebrae_T11,335,713,90.12059020996094,88.82821655273438,14.204019546508789,13.771961212158203,75.91657066345215
34,vertebrae_T10,330,711,93.57807159423828,91.89671325683594,14.991656303405762,13.898731231689453,78.58641529083252
35,vertebrae_T9,314,688,97.46205139160156,95.620849609375,13.788586616516113,12.195884704589844,83.67346477508545
36,vertebrae_T8,274,638,95.58615112304688,94.21781158447266,7.515618801116943,6.125007629394531,88.07053232192993
37,vertebrae_T7,216,595,93.29512023925781,92.61184692382812,1.2677034139633179,-0.8932037353515625,92.0274168252945
38,vertebrae_T6,147,588,89.58137512207031,89.00857543945312,6.512271881103516,-6.396812438964844,83.0691032409668
39,vertebrae_T5,105,592,90.08014678955078,89.30756378173828,0.750697910785675,0.3026123046875,89.3294488787651
40,vertebrae_T4,88,595,88.76571655273438,87.68741607666016,9.156453132629395,8.802032470703125,79.60926342010498
41,vertebrae_T3,87,595,91.26333618164062,90.46461486816406,11.584638595581055,11.549087524414062,79.67869758605957
42,vertebrae_T2,87,586,94.60858154296875,94.09916687011719,15.057659149169922,14.993392944335938,79.55092239379883
43,vertebrae_T1,87,573,93.88736724853516,93.57241821289062,15.142005920410156,14.71173095703125,78.745361328125
44,vertebrae_C7,79,555,89.90738677978516,89.61143493652344,11.135843276977539,10.378387451171875,78.77154350280762
45,vertebrae_C6,34,426,58.150856018066406,57.660125732421875,10.305761337280273,8.81231689453125,47.84509468078613
52,aorta,335,890,65.49632263183594,65.40167236328125,33.06558609008789,-32.08539962768555,32.43073654174805
53,pulmonary_vein,188,625,97.75936889648438,97.54505157470703,9.10057544708252,6.6892852783203125,88.65879344940186
54,brachiocephalic_trunk,86,591,94.40679168701172,94.05598449707031,15.672813415527344,15.124465942382812,78.73397827148438
55,subclavian_artery_right,86,588,101.81084442138672,101.48489379882812,22.117938995361328,20.504196166992188,79.69290542602539
56,subclavian_artery_left,86,605,100.0373306274414,99.88911437988281,18.888389587402344,17.965591430664062,81.14894104003906
57,common_carotid_artery_right,86,584,94.94513702392578,94.69557189941406,15.68028450012207,14.05963134765625,79.26485252380371
58,common_carotid_artery_left,86,607,94.37045288085938,94.20266723632812,13.674335479736328,12.396881103515625,80.69611740112305
60,brachiocephalic_vein_right,86,593,96.28484344482422,95.93997955322266,18.491539001464844,17.085693359375,77.79330444335938
61,atrial_appendage_left,116,543,75.9022445678711,75.38792419433594,10.345720291137695,9.607872009277344,65.5565242767334
62,superior_vena_cava,123,625,98.70301055908203,98.34712982177734,6.993218421936035,2.829681396484375,91.709792137146
63,inferior_vena_cava,335,789,76.22640228271484,76.1641616821289,12.715956687927246,5.318271636962891,63.5104455947876
64,portal_vein_and_splenic_vein,331,661,90.42401123046875,90.36991119384766,28.34930992126465,23.65089988708496,62.0747013092041
65,iliac_artery_left,320,517,5.932336330413818,-3.6759033203125,35.215980529785156,-34.08634948730469,-29.283644199371338
66,iliac_artery_right,320,514,4.121597766876221,1.1086502075195312,29.93735694885254,-28.90350341796875,-25.81575918197632
67,iliac_vena_left,320,514,6.553166389465332,-3.6547698974609375,35.08287811279297,-33.80168151855469,-28.529711723327637
68,iliac_vena_right,320,508,6.006040573120117,-0.35054779052734375,30.107513427734375,-29.40985107421875,-24.101472854614258
69,humerus_left,86,496,70.41568756103516,70.12460327148438,25.056381225585938,19.542388916015625,45.35930633544922
70,humerus_right,90,500,67.89109802246094,67.79792785644531,15.683828353881836,11.74468994140625,52.2072696685791
71,scapula_left,180,651,88.169677734375,87.73320770263672,28.016969680786133,-27.643173217773438,60.15270805358887
72,scapula_right,179,634,86.82238006591797,86.02790069580078,24.982656478881836,-24.395339965820312,61.83972358703613
73,clavicula_left,87,586,96.55635833740234,96.55604553222656,21.54695701599121,18.363143920898438,75.00940132141113
74,clavicula_right,87,582,96.11468505859375,96.03089904785156,20.929391860961914,17.607254028320312,75.18529319763184
75,femur_left,310,461,7.266039848327637,6.964263916015625,21.308202743530273,-17.27484130859375,-14.042162895202637
76,femur_right,312,452,12.856125831604004,10.556488037109375,18.091625213623047,-13.583404541015625,-5.235499382019043
77,hip_left,321,524,9.110146522521973,-7.8691558837890625,36.950496673583984,-36.43925476074219,-27.84035015106201
78,hip_right,321,519,10.60520076751709,-6.769561767578125,37.039527893066406,-36.333770751953125,-26.434327125549316
79,spinal_cord,336,961,24.30538558959961,23.618776321411133,84.73377990722656,-84.57745361328125,-60.42839431762695
80,gluteus_maximus_left,317,483,7.877274036407471,-4.04608154296875,31.177936553955078,-30.858047485351562,-23.300662517547607
81,gluteus_maximus_right,317,483,10.318710327148438,-0.8590087890625,26.419466018676758,-25.729400634765625,-16.10075569152832
82,gluteus_medius_left,320,507,10.08938980102539,-9.011970520019531,38.890296936035156,-38.2366943359375,-28.800907135009766
83,gluteus_medius_right,321,499,10.099427223205566,-3.9259872436523438,31.995088577270508,-30.906295776367188,-21.89566135406494
84,gluteus_minimus_left,315,472,10.149981498718262,-9.836471557617188,37.04593276977539,-35.30467224121094,-26.89595127105713
85,gluteus_minimus_right,314,463,9.898114204406738,-4.0595703125,30.567092895507812,-28.462844848632812,-20.668978691101074
86,autochthon_left,336,920,34.34891128540039,32.77659225463867,67.02743530273438,-66.86000061035156,-32.678524017333984
87,autochthon_right,336,920,31.398483276367188,29.736059188842773,70.2633056640625,-70.24613952636719,-38.86482238769531
88,iliopsoas_left,331,669,12.244681358337402,6.347618103027344,44.4777946472168,-43.89521789550781,-32.233113288879395
89,iliopsoas_right,333,674,16.172401428222656,10.125839233398438,40.22121810913086,-40.178070068359375,-24.048816680908203
91,skull,19,356,32.26256561279297,10.05145263671875,58.52433395385742,-53.547760009765625,-26.261768341064453
92,rib_left_1,86,598,100.07591247558594,99.99853515625,20.37509536743164,18.7919921875,79.7008171081543
93,rib_left_2,87,608,94.54207611083984,94.50369262695312,17.035310745239258,14.428924560546875,77.50676536560059
96,rib_left_5,267,696,110.81053161621094,100.5169906616211,37.478416442871094,-14.58251953125,73.33211517333984
97,rib_left_6,322,736,95.67123413085938,88.6274185180664,25.403406143188477,-8.05059814453125,70.2678279876709
98,rib_left_7,334,720,83.63023376464844,79.49671173095703,13.871646881103516,-2.5442962646484375,69.75858688354492
99,rib_left_8,335,717,82.23394012451172,80.24676513671875,6.828709602355957,4.094352722167969,75.40523052215576
100,rib_left_9,335,721,86.2557373046875,84.98246765136719,10.777828216552734,10.08734130859375,75.47790908813477
101,rib_left_10,334,706,86.30938720703125,85.10661315917969,14.134007453918457,13.486156463623047,72.1753797531128
102,rib_left_11,334,691,86.04866790771484,85.05558776855469,16.06787109375,16.004587173461914,69.98079681396484
103,rib_left_12,330,622,79.89358520507812,79.11438751220703,16.97899055480957,16.919158935546875,62.914594650268555
104,rib_right_1,86,599,101.28591918945312,101.10130310058594,19.886119842529297,18.887908935546875,81.39979934692383
105,rib_right_2,86,604,99.47004699707031,99.37178802490234,19.465709686279297,17.856246948242188,80.00433731079102
106,rib_right_3,96,616,94.3463134765625,93.36304473876953,7.798469543457031,7.21771240234375,86.54784393310547
107,rib_right_4,168,629,109.1576156616211,99.72908020019531,34.797332763671875,-13.473480224609375,74.36028289794922
108,rib_right_5,261,674,111.3641357421875,99.04754638671875,41.17725372314453,-14.244583129882812,70.18688201904297
109,rib_right_6,321,708,95.04145050048828,86.1806640625,28.754606246948242,-8.28387451171875,66.28684425354004
110,rib_right_7,335,694,80.75877380371094,75.9007339477539,15.33320140838623,-1.5610198974609375,65.4255723953247
111,rib_right_8,334,694,79.12179565429688,76.96270751953125,8.469995498657227,5.560749053955078,70.65180015563965
112,rib_right_9,334,697,83.63631439208984,82.36736297607422,12.342134475708008,11.244758605957031,71.29417991638184
113,rib_right_10,334,694,84.66051483154297,83.3891372680664,15.190485954284668,13.841065406799316,69.4700288772583
114,rib_right_11,334,695,85.76242065429688,84.62952423095703,15.502775192260742,15.060011863708496,70.25964546203613
115,rib_right_12,332,618,78.19284057617188,77.34654998779297,15.4676513671875,15.227493286132812,62.725189208984375
116,sternum,285,769,98.27202606201172,97.74249267578125,15.081231117248535,-14.652030944824219,83.19079494476318
117,costal_cartilages,335,818,89.49030303955078,89.41400146484375,14.519454956054688,-10.302803039550781,74.9708480834961
