pair,atlas_mre_before_mm,atlas_mre_after_mm,ridge_mre_before_mm,ridge_mre_after_mm
V2 -> V2,54.0269292442544,49.24689754004617,43.838411257104966,46.596294551219756
TS -> TS,89.35397181144127,75.66599776194646,65.4886940075801,68.71099827839778
V2 -> TS,110.59249740896873,77.40748807296012,82.31355193054792,78.24709771906288
TS -> V2,94.26793237334316,54.39201388312775,62.49337879662375,55.96675417261216
Pooled -> V2,81.72045591039566,52.08530651944355,55.22308101468873,51.778739373660784
Pooled -> TS,91.38453215819139,75.61800219462468,66.06996393203735,69.0712380042443
