method,mre_v2_v2,mre_ts_ts,mre_v2_ts,mre_ts_v2,mre_pool_v2,mre_pool_ts,med_shift,p90_shift,med_dz,round_trip_max
01_bbox_midpoint_baseline,54.27610519557323,89.35397210487953,173.42755545102634,160.90846782054717,125.57774834493989,100.84261388045091,141.9628448486328,260.21587524414065,79.68447875976562,3.0517578125e-05
02_surface_mean_centroid,53.764969723895916,89.79469772485587,175.68342751723068,165.1669685956344,128.95902522559305,101.31583797014676,143.87181091308594,261.1073089599609,83.54335021972656,3.0517578125e-05
03_waist_narrowing_inflection,81.95185355769777,127.52118044633131,211.47527364584116,188.58396719034437,154.01850979999432,137.39067752544696,155.6046600341797,274.8680480957031,93.30960083007812,6.103515625e-05
04_1D_torso_profile_matcher,72.70164334195331,178.1770690037654,237.3258709540734,182.54725291428056,148.1917108332069,183.56850103231577,151.23501586914062,319.1650817871094,34.705955505371094,6.103515625e-05
