variable,description,pearson_r_mre,pearson_p_mre,spearman_rho_mre,spearman_p_mre,pearson_r_dz,pearson_p_dz,pearson_r_dy,pearson_p_dy
si_height,Scan SI Height (mm),-0.15733948825802602,0.011222131977520389,-0.0920696968967103,0.1394894929568226,-0.03225154880308162,0.6053911537853697,-0.20018814104152222,0.0011995424481418939
ap_depth,Body AP Depth (mm),0.32242353449494676,1.1193516476833455e-07,0.36169103234281635,2.0103835739581922e-09,-0.15177211909912156,0.014488976176305403,0.4044097730594935,1.3039414926803942e-11
lr_width,Body LR Width (mm),0.05040599168685342,0.4192071665246781,0.05504448384631494,0.3776463253044853,0.023572620214935208,0.7057404676087102,-0.007906080979142105,0.8992388969270001
bcenter_z,Bounding Box Z Center (mm),-0.11701174593167066,0.06004243135900832,-0.11016615802441108,0.07676524051456274,-0.036302137615646636,0.5608405580003921,-0.06651391285839094,0.2862230648352294
mean_z,Surface Centroid Z (mm),0.0031248053574908985,0.9600858456915997,0.047721040744296554,0.4444392117075128,0.0050966557623766985,0.9349435714744826,-0.059608160020639296,0.3393186815404652
mean_y,Surface Centroid Y (mm),0.04310241137108798,0.4897959332850466,0.05856776787009345,0.347830363022909,0.3295349091589346,5.630976198128143e-08,0.15385044385570626,0.013182972868789736
